state,submission_type,transaction_type_group,transaction_count,transaction_share,weighted_aht
NY,Batch,Renewal Policy,"1,062",0.013925129,3.5
NY,Manual,Renewal Policy,151,0.001979938,10
OH,Batch,Endorsement,468,0.006136498,1
OH,Manual,Endorsement,9,0.00011801,2
OH,Batch,New Policy,210,0.002753557,1
OH,Manual,New Policy,11,0.000144234,2
OH,Batch,Renewal Policy,224,0.002937127,1
OH,Manual,Renewal Policy,3,3.93365E-05,3.5
OK,Batch,Endorsement,204,0.002674884,2
OK,Manual,Endorsement,82,0.001075198,3
OK,Batch,New Policy,229,0.003002688,2
OK,Manual,New Policy,383,0.005021963,4
OK,Batch,Renewal Policy,68,0.000891628,2
OK,Manual,Renewal Policy,40,0.000524487,4
OR,Batch,Endorsement,52,0.000681833,3
OR,Manual,Endorsement,260,0.003409165,4
OR,Batch,New Policy,180,0.002360191,1.67
OR,Manual,New Policy,"1,106",0.014502065,1
OR,Batch,Renewal Policy,60,0.00078673,5.5
OR,Manual,Renewal Policy,107,0.001403003,2.6
PA,Manual,Endorsement,755,0.009899692,2
PA,Batch,New Policy,579,0.007591949,6
PA,Manual,New Policy,923,0.012102537,3.33
PA,Batch,Renewal Policy,480,0.006293844,5
PA,Manual,Renewal Policy,135,0.001770144,5
RI,Manual,Endorsement,126,0.001652134,2
RI,Manual,New Policy,69,0.00090474,2
RI,Manual,Renewal Policy,71,0.000930964,2
SC,Batch,Endorsement,143,0.001875041,2
SC,Manual,Endorsement,457,0.005992264,2
SC,Batch,New Policy,62,0.000812955,3
SC,Manual,New Policy,184,0.00241264,6
SC,Manual,Renewal Policy,102,0.001337442,2
SD,Batch,Endorsement,53,0.000694945,1
SD,Manual,Endorsement,14,0.00018357,2
SD,Batch,New Policy,35,0.000458926,1
SD,Manual,New Policy,26,0.000340917,2
SD,Batch,Renewal Policy,17,0.000222907,1
SD,Manual,Renewal Policy,12,0.000157346,2
TN,Batch,Endorsement,571,0.007487052,0.54
TN,Manual,Endorsement,133,0.001743919,2
TN,Batch,New Policy,269,0.003527175,1.8
TN,Manual,New Policy,72,0.000944077,2
TN,Batch,Renewal Policy,196,0.002569986,1.8
TN,Manual,Renewal Policy,22,0.000288468,1.6
TX,Batch,Endorsement,"2,265",0.029699076,3
TX,Manual,Endorsement,317,0.004156559,3
TX,Batch,New Policy,"6,377",0.083616338,2.03
TX,Manual,New Policy,124,0.00162591,4.62
TX,Batch,Renewal Policy,"1,057",0.013859569,2.5
TX,Manual,Renewal Policy,10,0.000131122,5
VA,Manual,Endorsement,375,0.004917065,3.18
VA,Manual,New Policy,264,0.003461614,3.18
VA,Manual,Renewal Policy,169,0.002215958,3.18
VI,Manual,New Policy,2,2.62243E-05,2
VI,Manual,Renewal Policy,5,6.55609E-05,2
VT,Manual,Endorsement,79,0.001035862,3.18
VT,Manual,New Policy,15,0.000196683,3.18
VT,Manual,Renewal Policy,32,0.00041959,3.18
WA,Batch,Endorsement,202,0.002648659,2
WA,Manual,Endorsement,383,0.005021963,3
WA,Batch,New Policy,491,0.006438078,3.75
WA,Manual,New Policy,293,0.003841867,6
WA,Batch,Renewal Policy,342,0.004484364,3.33
WA,Manual,Renewal Policy,163,0.002137284,4.29
WI,Manual,Endorsement,1,1.31122E-05,1
WI,Manual,New Policy,1,1.31122E-05,1
WI,Manual,Renewal Policy,8,0.000104897,1
WV,Manual,Endorsement,61,0.000799843,3
WV,Manual,New Policy,46,0.00060316,1
WV,Manual,Renewal Policy,51,0.000668721,1
WY,Batch,Endorsement,92,0.00120632,1
WY,Manual,Endorsement,16,0.000209795,2
WY,Batch,New Policy,52,0.000681833,1
WY,Manual,New Policy,10,0.000131122,2
WY,Batch,Renewal Policy,41,0.000537599,1
WY,Manual,Renewal Policy,9,0.00011801,2
